dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_Shanghai_AI_Laboratory_internlm2-math-7b
ceval-computer_network,db9ce2,accuracy,gen,15.79
ceval-operating_system,1c2571,accuracy,gen,26.32
ceval-computer_architecture,a74dad,accuracy,gen,33.33
ceval-college_programming,4ca32a,accuracy,gen,24.32
ceval-college_physics,963fa8,accuracy,gen,31.58
ceval-college_chemistry,e78857,accuracy,gen,20.83
ceval-advanced_mathematics,ce03e2,accuracy,gen,21.05
ceval-probability_and_statistics,65e812,accuracy,gen,16.67
ceval-discrete_mathematics,e894ae,accuracy,gen,12.50
ceval-electrical_engineer,ae42b9,accuracy,gen,24.32
ceval-metrology_engineer,ee34ea,accuracy,gen,41.67
ceval-high_school_mathematics,1dc5bf,accuracy,gen,11.11
ceval-high_school_physics,adf25f,accuracy,gen,47.37
ceval-high_school_chemistry,2ed27f,accuracy,gen,26.32
ceval-high_school_biology,8e2b9a,accuracy,gen,47.37
ceval-middle_school_mathematics,bee8d5,accuracy,gen,26.32
ceval-middle_school_biology,86817c,accuracy,gen,52.38
ceval-middle_school_physics,8accf6,accuracy,gen,42.11
ceval-middle_school_chemistry,167a15,accuracy,gen,15.00
ceval-veterinary_medicine,b4e08d,accuracy,gen,34.78
ceval-college_economics,f3f4e6,accuracy,gen,32.73
ceval-business_administration,c1614e,accuracy,gen,15.15
ceval-marxism,cf874c,accuracy,gen,42.11
ceval-mao_zedong_thought,51c7a4,accuracy,gen,54.17
ceval-education_science,591fee,accuracy,gen,20.69
ceval-teacher_qualification,4e4ced,accuracy,gen,43.18
ceval-high_school_politics,5c0de2,accuracy,gen,47.37
ceval-high_school_geography,865461,accuracy,gen,21.05
ceval-middle_school_politics,5be3e7,accuracy,gen,23.81
ceval-middle_school_geography,8a63be,accuracy,gen,50.00
ceval-modern_chinese_history,fc01af,accuracy,gen,47.83
ceval-ideological_and_moral_cultivation,a2aa4a,accuracy,gen,42.11
ceval-logic,f5b022,accuracy,gen,27.27
ceval-law,a110a1,accuracy,gen,12.50
ceval-chinese_language_and_literature,0f8b68,accuracy,gen,30.43
ceval-art_studies,2a1300,accuracy,gen,24.24
ceval-professional_tour_guide,4e673e,accuracy,gen,34.48
ceval-legal_professional,ce8787,accuracy,gen,34.78
ceval-high_school_chinese,315705,accuracy,gen,36.84
ceval-high_school_history,7eb30a,accuracy,gen,40.00
ceval-middle_school_history,48ab4a,accuracy,gen,59.09
ceval-civil_servant,87d061,accuracy,gen,21.28
ceval-sports_science,70f27b,accuracy,gen,31.58
ceval-plant_protection,8941f9,accuracy,gen,54.55
ceval-basic_medicine,c409d6,accuracy,gen,36.84
ceval-clinical_medicine,49e82d,accuracy,gen,9.09
ceval-urban_and_rural_planner,95b885,accuracy,gen,23.91
ceval-accountant,002837,accuracy,gen,16.33
ceval-fire_engineer,bc23f5,accuracy,gen,12.90
ceval-environmental_impact_assessment_engineer,c64e2d,accuracy,gen,29.03
ceval-tax_accountant,3a5e3c,accuracy,gen,10.20
ceval-physician,6e277d,accuracy,gen,36.73
ceval-stem,-,naive_average,gen,28.56
ceval-social-science,-,naive_average,gen,35.03
ceval-humanities,-,naive_average,gen,35.42
ceval-other,-,naive_average,gen,25.68
ceval-hard,-,naive_average,gen,23.43
ceval,-,naive_average,gen,30.64
