dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_yondong_AMchat
ceval-computer_network,db9ce2,accuracy,gen,36.84
ceval-operating_system,1c2571,accuracy,gen,52.63
ceval-computer_architecture,a74dad,accuracy,gen,33.33
ceval-college_programming,4ca32a,accuracy,gen,37.84
ceval-college_physics,963fa8,accuracy,gen,10.53
ceval-college_chemistry,e78857,accuracy,gen,16.67
ceval-advanced_mathematics,ce03e2,accuracy,gen,15.79
ceval-probability_and_statistics,65e812,accuracy,gen,5.56
ceval-discrete_mathematics,e894ae,accuracy,gen,25.00
ceval-electrical_engineer,ae42b9,accuracy,gen,27.03
ceval-metrology_engineer,ee34ea,accuracy,gen,45.83
ceval-high_school_mathematics,1dc5bf,accuracy,gen,11.11
ceval-high_school_physics,adf25f,accuracy,gen,15.79
ceval-high_school_chemistry,2ed27f,accuracy,gen,21.05
ceval-high_school_biology,8e2b9a,accuracy,gen,21.05
ceval-middle_school_mathematics,bee8d5,accuracy,gen,10.53
ceval-middle_school_biology,86817c,accuracy,gen,42.86
ceval-middle_school_physics,8accf6,accuracy,gen,36.84
ceval-middle_school_chemistry,167a15,accuracy,gen,45.00
ceval-veterinary_medicine,b4e08d,accuracy,gen,26.09
ceval-college_economics,f3f4e6,accuracy,gen,18.18
ceval-business_administration,c1614e,accuracy,gen,9.09
ceval-marxism,cf874c,accuracy,gen,36.84
ceval-mao_zedong_thought,51c7a4,accuracy,gen,45.83
ceval-education_science,591fee,accuracy,gen,31.03
ceval-teacher_qualification,4e4ced,accuracy,gen,29.55
ceval-high_school_politics,5c0de2,accuracy,gen,26.32
ceval-high_school_geography,865461,accuracy,gen,21.05
ceval-middle_school_politics,5be3e7,accuracy,gen,28.57
ceval-middle_school_geography,8a63be,accuracy,gen,41.67
ceval-modern_chinese_history,fc01af,accuracy,gen,47.83
ceval-ideological_and_moral_cultivation,a2aa4a,accuracy,gen,47.37
ceval-logic,f5b022,accuracy,gen,45.45
ceval-law,a110a1,accuracy,gen,12.50
ceval-chinese_language_and_literature,0f8b68,accuracy,gen,21.74
ceval-art_studies,2a1300,accuracy,gen,15.15
ceval-professional_tour_guide,4e673e,accuracy,gen,27.59
ceval-legal_professional,ce8787,accuracy,gen,4.35
ceval-high_school_chinese,315705,accuracy,gen,26.32
ceval-high_school_history,7eb30a,accuracy,gen,20.00
ceval-middle_school_history,48ab4a,accuracy,gen,36.36
ceval-civil_servant,87d061,accuracy,gen,21.28
ceval-sports_science,70f27b,accuracy,gen,36.84
ceval-plant_protection,8941f9,accuracy,gen,36.36
ceval-basic_medicine,c409d6,accuracy,gen,31.58
ceval-clinical_medicine,49e82d,accuracy,gen,13.64
ceval-urban_and_rural_planner,95b885,accuracy,gen,36.96
ceval-accountant,002837,accuracy,gen,16.33
ceval-fire_engineer,bc23f5,accuracy,gen,25.81
ceval-environmental_impact_assessment_engineer,c64e2d,accuracy,gen,25.81
ceval-tax_accountant,3a5e3c,accuracy,gen,16.33
ceval-physician,6e277d,accuracy,gen,28.57
ceval-stem,-,naive_average,gen,26.87
ceval-social-science,-,naive_average,gen,28.81
ceval-humanities,-,naive_average,gen,27.70
ceval-other,-,naive_average,gen,26.32
ceval-hard,-,naive_average,gen,15.19
ceval,-,naive_average,gen,27.30
